id,skill,level
802,Attack,5
803,Attack,20
804,Attack,30
804,Ranged,30
805,Attack,40
805,Ranged,40
808,Ranged,5
809,Ranged,20
810,Ranged,30
811,Ranged,40
814,Ranged,5
815,Ranged,20
816,Ranged,30
817,Ranged,40
827,Ranged,5
828,Ranged,20
829,Ranged,30
830,Ranged,40
833,Ranged,5
834,Ranged,20
835,Ranged,30
836,Ranged,40
843,Ranged,5
849,Ranged,20
853,Ranged,30
857,Ranged,40
861,Ranged,50
865,Ranged,5
866,Ranged,20
867,Ranged,30
868,Ranged,40
869,Ranged,10
872,Ranged,5
873,Ranged,20
874,Ranged,10
875,Ranged,30
876,Ranged,40
1065,Ranged,40
1069,Defence,5
1071,Defence,20
1073,Defence,30
1077,Defence,10
1079,Defence,40
1083,Defence,5
1085,Defence,20
1089,Defence,10
1091,Defence,30
1093,Defence,40
1099,Ranged,40
1105,Defence,5
1107,Defence,10
1109,Defence,20
1111,Defence,30
1113,Defence,40
1119,Defence,5
1121,Defence,20
1123,Defence,30
1125,Defence,10
1127,Defence,40
1131,Defence,10
1133,Defence,20
1135,Defence,40
1135,Ranged,40
1141,Defence,5
1143,Defence,20
1145,Defence,30
1147,Defence,40
1149,Defence,60
1151,Defence,10
1157,Defence,5
1159,Defence,20
1161,Defence,30
1163,Defence,40
1165,Defence,10
1177,Defence,5
1179,Defence,10
1181,Defence,20
1183,Defence,30
1185,Defence,40
1187,Defence,60
1193,Defence,5
1195,Defence,10
1197,Defence,20
1199,Defence,30
1201,Defence,40
1207,Attack,5
1209,Attack,20
1211,Attack,30
1213,Attack,40
1215,Attack,60
1217,Attack,10
1223,Attack,5
1225,Attack,20
1227,Attack,30
1229,Attack,40
1231,Attack,60
1233,Attack,10
1241,Attack,5
1243,Attack,20
1245,Attack,30
1247,Attack,40
1249,Attack,60
1255,Attack,5
1257,Attack,20
1259,Attack,30
1261,Attack,40
1263,Attack,60
1269,Attack,5
1271,Attack,30
1273,Attack,20
1275,Attack,40
1281,Attack,5
1283,Attack,10
1285,Attack,20
1287,Attack,30
1289,Attack,40
1295,Attack,5
1297,Attack,10
1299,Attack,20
1301,Attack,30
1303,Attack,40
1305,Attack,60
1311,Attack,5
1313,Attack,10
1315,Attack,20
1317,Attack,30
1319,Attack,40
1325,Attack,5
1327,Attack,10
1329,Attack,20
1331,Attack,30
1333,Attack,40
1339,Attack,5
1341,Attack,10
1343,Attack,20
1345,Attack,30
1347,Attack,40
1353,Attack,5
1355,Attack,20
1357,Attack,30
1359,Attack,40
1361,Attack,10
1365,Attack,5
1367,Attack,10
1369,Attack,20
1371,Attack,30
1373,Attack,40
1377,Attack,60
1391,Attack,30
1391,Magic,20
1393,Attack,30
1393,Magic,20
1395,Attack,30
1395,Magic,20
1397,Attack,30
1397,Magic,20
1399,Attack,30
1399,Magic,20
1401,Magic,40
1403,Magic,40
1405,Magic,40
1407,Magic,40
1424,Attack,5
1426,Attack,10
1428,Attack,20
1430,Attack,30
1432,Attack,40
1434,Attack,60
2412,Magic,60
2413,Magic,60
2414,Magic,60
2415,Magic,60
2416,Magic,60
2417,Magic,60
2487,Ranged,50
2489,Ranged,60
2491,Ranged,70
2493,Ranged,50
2495,Ranged,60
2497,Ranged,70
2499,Defence,40
2499,Ranged,50
2501,Defence,40
2501,Ranged,60
2503,Defence,40
2503,Ranged,70
2513,Defence,60
2579,Magic,40
2583,Defence,10
2585,Defence,10
2587,Defence,10
2589,Defence,10
2591,Defence,10
2593,Defence,10
2595,Defence,10
2597,Defence,10
2599,Defence,30
2601,Defence,30
2603,Defence,30
2605,Defence,30
2607,Defence,30
2609,Defence,30
2611,Defence,30
2613,Defence,30
2615,Defence,40
2617,Defence,40
2619,Defence,40
2621,Defence,40
2623,Defence,40
2625,Defence,40
2627,Defence,40
2629,Defence,40
3053,Attack,30
3053,Magic,20
3054,Magic,40
3093,Ranged,10
3094,Ranged,10
3122,Defence,40
3140,Defence,60
3172,Attack,5
3173,Attack,20
3174,Attack,30
3175,Attack,40
3176,Attack,60
3194,Attack,5
3196,Attack,10
3198,Attack,20
3200,Attack,30
3202,Attack,40
3204,Attack,60
3385,Defence,40
3385,Magic,40
3387,Defence,40
3387,Magic,40
3389,Defence,40
3389,Magic,40
3391,Defence,40
3391,Magic,40
3393,Defence,40
3393,Magic,40
3472,Defence,10
3473,Defence,10
3476,Defence,40
3477,Defence,40
3749,Defence,45
3751,Defence,45
3753,Defence,45
3755,Defence,45
4087,Defence,60
4089,Defence,20
4089,Magic,40
4091,Defence,20
4091,Magic,40
4093,Defence,20
4093,Magic,40
4095,Defence,20
4095,Magic,40
4097,Defence,20
4097,Magic,40
4099,Defence,20
4099,Magic,40
4101,Defence,20
4101,Magic,40
4103,Defence,20
4103,Magic,40
4105,Defence,20
4105,Magic,40
4107,Defence,20
4107,Magic,40
4109,Defence,20
4109,Magic,40
4111,Defence,20
4111,Magic,40
4113,Defence,20
4113,Magic,40
4115,Defence,20
4115,Magic,40
4117,Defence,20
4117,Magic,40
4123,Defence,5
4125,Defence,10
4127,Defence,20
4129,Defence,30
4131,Defence,40
4151,Attack,70
4153,Attack,50
4153,Strength,50
4178,Attack,70
4180,Defence,60
4212,Ranged,70
4214,Ranged,70
4215,Ranged,70
4216,Ranged,70
4217,Ranged,70
4218,Ranged,70
4219,Ranged,70
4220,Ranged,70
4221,Ranged,70
4222,Ranged,70
4223,Ranged,70
4224,Defence,70
4225,Defence,70
4226,Defence,70
4227,Defence,70
4228,Defence,70
4229,Defence,70
4230,Defence,70
4231,Defence,70
4232,Defence,70
4233,Defence,70
4234,Defence,70
4580,Attack,10
4582,Attack,10
4584,Attack,10
4585,Defence,60
4587,Attack,60
4675,Attack,50
4675,Magic,40
4708,Attack,70
4708,Defence,70
4708,Magic,70
4710,Attack,70
4710,Magic,70
4712,Defence,70
4712,Magic,70
4714,Defence,70
4714,Magic,70
4716,Defence,70
4718,Attack,70
4718,Strength,70
4720,Defence,70
4722,Defence,70
4724,Defence,70
4726,Attack,70
4728,Defence,70
4730,Defence,70
4732,Defence,70
4734,Ranged,70
4736,Defence,70
4738,Defence,70
4745,Defence,70
4749,Defence,70
4751,Defence,70
4753,Defence,70
4755,Attack,70
4757,Defence,70
4759,Defence,70
4856,Defence,70
4856,Magic,70
4857,Defence,70
4857,Magic,70
4858,Defence,70
4858,Magic,70
4859,Defence,70
4859,Magic,70
4862,Attack,70
4862,Magic,70
4863,Attack,70
4863,Magic,70
4864,Attack,70
4864,Magic,70
4865,Attack,70
4865,Magic,70
4868,Defence,70
4868,Magic,70
4869,Defence,70
4869,Magic,70
4870,Defence,70
4870,Magic,70
4871,Defence,70
4871,Magic,70
4874,Defence,70
4874,Magic,70
4875,Defence,70
4875,Magic,70
4876,Defence,70
4876,Magic,70
4877,Defence,70
4877,Magic,70
4880,Defence,70
4881,Defence,70
4882,Defence,70
4883,Defence,70
4886,Attack,70
4886,Strength,70
4887,Attack,70
4887,Strength,70
4888,Attack,70
4888,Strength,70
4889,Attack,70
4889,Strength,70
4890,Attack,70
4890,Strength,70
4892,Defence,70
4893,Defence,70
4894,Defence,70
4895,Defence,70
4898,Defence,70
4899,Defence,70
4900,Defence,70
4901,Defence,70
4904,Defence,70
4905,Defence,70
4906,Defence,70
4907,Defence,70
4910,Attack,70
4911,Attack,70
4912,Attack,70
4913,Attack,70
4916,Defence,70
4917,Defence,70
4918,Defence,70
4919,Defence,70
4922,Defence,70
4923,Defence,70
4924,Defence,70
4925,Defence,70
4928,Defence,70
4929,Defence,70
4930,Defence,70
4931,Defence,70
4934,Ranged,70
4935,Ranged,70
4936,Ranged,70
4937,Ranged,70
4940,Defence,70
4941,Defence,70
4942,Defence,70
4943,Defence,70
4946,Defence,70
4947,Defence,70
4948,Defence,70
4949,Defence,70
4952,Defence,70
4953,Defence,70
4954,Defence,70
4955,Defence,70
4958,Attack,70
4959,Attack,70
4960,Attack,70
4961,Attack,70
4964,Defence,70
4965,Defence,70
4966,Defence,70
4967,Defence,70
4970,Defence,70
