id_npc,id_item,chance,amount_minimum,amount_maximum,rare
1,205,58,1,1,f
1,207,57,1,1,f
1,213,74,1,1,f
1,209,59,1,1,f
1,211,48,1,1,f
1,217,42,1,1,f
1,2485,53,1,1,f
1,877,83,1,2,f
1,882,64,7,7,f
1,1203,63,1,1,f
1,1139,66,1,1,f
1,1381,46,1,1,f
1,995,97,1,1,f
1,1438,72,1,1,f
1,1440,72,1,1,f
1,1965,69,1,1,f
1,313,71,1,1,f
1,438,55,1,1,f
2,526,100,1,1,f
2,555,74,7,7,f
2,557,56,4,4,f
2,554,69,6,6,f
2,558,72,9,9,f
2,562,43,2,2,f
2,559,3,7,7,f
2,199,75,1,1,f
2,201,57,1,1,f
2,203,64,1,1,f
2,205,58,1,1,f
2,213,74,1,1,f
2,209,59,1,1,f
2,211,48,1,1,f
2,215,44,1,1,f
2,217,42,1,1,f
2,2485,53,1,1,f
2,877,83,1,2,f
2,882,64,7,7,f
2,1203,63,1,1,f
2,1139,66,1,1,f
2,1381,46,1,1,f
2,995,97,1,1,f
2,1440,72,1,1,f
2,1965,69,1,1,f
2,313,71,1,1,f
2,436,59,1,1,f
2,438,55,1,1,f
3,526,100,1,1,f
3,555,74,7,7,f
3,557,56,4,4,f
3,554,69,6,6,f
3,558,72,9,9,f
3,562,43,2,2,f
3,559,3,7,7,f
3,201,57,1,1,f
3,203,64,1,1,f
3,205,58,1,1,f
3,207,57,1,1,f
3,213,74,1,1,f
3,209,59,1,1,f
3,211,48,1,1,f
3,215,44,1,1,f
3,217,42,1,1,f
3,2485,53,1,1,f
3,877,83,1,2,f
3,882,64,7,7,f
3,1139,66,1,1,f
3,1381,46,1,1,f
3,995,97,1,1,f
3,1438,72,1,1,f
3,1440,72,1,1,f
3,1965,69,1,1,f
3,313,71,1,1,f
3,436,59,1,1,f
3,438,55,1,1,f
16,526,100,1,1,f
16,555,74,7,7,f
16,557,56,4,4,f
16,558,72,9,9,f
16,562,43,2,2,f
16,559,3,7,7,f
16,199,75,1,1,f
16,201,57,1,1,f
16,203,64,1,1,f
16,205,58,1,1,f
16,207,57,1,1,f
16,213,74,1,1,f
16,209,59,1,1,f
16,211,48,1,1,f
16,215,44,1,1,f
16,2485,53,1,1,f
16,877,83,1,2,f
16,882,64,7,7,f
16,1203,63,1,1,f
16,1139,66,1,1,f
16,1381,46,1,1,f
16,995,97,1,1,f
16,1438,72,1,1,f
16,1440,72,1,1,f
16,1965,69,1,1,f
16,313,71,1,1,f
16,436,59,1,1,f
24,526,100,1,1,f
24,555,74,7,7,f
24,557,56,4,4,f
24,554,69,6,6,f
24,558,72,9,9,f
24,562,43,2,2,f
24,559,3,7,7,f
24,199,75,1,1,f
24,201,57,1,1,f
24,203,64,1,1,f
24,205,58,1,1,f
24,207,57,1,1,f
24,209,59,1,1,f
24,211,48,1,1,f
24,215,44,1,1,f
24,217,42,1,1,f
24,2485,53,1,1,f
24,877,83,1,2,f
24,882,64,7,7,f
24,1203,63,1,1,f
24,1139,66,1,1,f
24,1381,46,1,1,f
24,995,97,1,1,f
24,1438,72,1,1,f
24,1965,69,1,1,f
1,558,72,9,9,f
1,562,43,2,2,f
1,559,3,7,7,f
1,199,75,1,1,f
53,205,92,1,1,f
1,203,64,1,1,f
53,207,60,1,1,f
53,209,73,1,1,f
53,211,66,1,1,f
53,213,70,1,1,f
53,215,57,1,1,f
53,2485,55,1,1,f
53,217,58,1,1,f
53,1623,66,1,1,f
1,201,57,1,1,f
53,199,96,1,1,f
53,201,79,1,1,f
53,203,92,1,1,f
170,2485,53,1,1,f
170,877,83,1,2,f
170,882,64,7,7,f
170,1203,63,1,1,f
170,1139,66,1,1,f
170,995,97,1,1,f
170,1438,72,1,1,f
170,1440,72,1,1,f
170,1965,69,1,1,f
170,313,71,1,1,f
170,436,59,1,1,f
170,438,55,1,1,f
351,526,100,1,1,f
351,555,74,7,7,f
351,557,56,4,4,f
351,554,69,6,6,f
351,558,72,9,9,f
351,559,3,7,7,f
351,199,75,1,1,f
351,201,57,1,1,f
351,203,64,1,1,f
351,205,58,1,1,f
351,207,57,1,1,f
351,213,74,1,1,f
351,209,59,1,1,f
351,211,48,1,1,f
351,215,44,1,1,f
351,217,42,1,1,f
351,2485,53,1,1,f
351,882,64,7,7,f
351,1203,63,1,1,f
351,1139,66,1,1,f
351,1381,46,1,1,f
351,995,97,1,1,f
351,1438,72,1,1,f
351,1440,72,1,1,f
351,1965,69,1,1,f
351,313,71,1,1,f
351,436,59,1,1,f
351,438,55,1,1,f
663,526,100,1,1,f
663,557,56,4,4,f
663,554,69,6,6,f
663,558,72,9,9,f
663,562,43,2,2,f
663,559,3,7,7,f
663,199,75,1,1,f
663,201,57,1,1,f
663,203,64,1,1,f
663,205,58,1,1,f
663,207,57,1,1,f
663,213,74,1,1,f
663,209,59,1,1,f
663,215,44,1,1,f
663,217,42,1,1,f
663,2485,53,1,1,f
663,877,83,1,2,f
663,882,64,7,7,f
663,1203,63,1,1,f
663,1139,66,1,1,f
663,1381,46,1,1,f
663,995,97,1,1,f
663,1438,72,1,1,f
663,1440,72,1,1,f
663,1965,69,1,1,f
663,436,59,1,1,f
663,438,55,1,1,f
728,526,100,1,1,f
728,555,74,7,7,f
728,557,56,4,4,f
728,554,69,6,6,f
728,558,72,9,9,f
728,562,43,2,2,f
728,559,3,7,7,f
728,199,75,1,1,f
728,201,57,1,1,f
728,203,64,1,1,f
728,207,57,1,1,f
728,213,74,1,1,f
728,209,59,1,1,f
728,211,48,1,1,f
728,215,44,1,1,f
728,217,42,1,1,f
728,2485,53,1,1,f
728,877,83,1,2,f
728,882,64,7,7,f
728,1203,63,1,1,f
728,1139,66,1,1,f
728,1381,46,1,1,f
728,1438,72,1,1,f
728,1440,72,1,1,f
728,1965,69,1,1,f
728,313,71,1,1,f
728,436,59,1,1,f
728,438,55,1,1,f
729,526,100,1,1,f
729,555,74,7,7,f
729,557,56,4,4,f
729,554,69,6,6,f
729,558,72,9,9,f
729,562,43,2,2,f
729,199,75,1,1,f
729,201,57,1,1,f
729,203,64,1,1,f
729,205,58,1,1,f
729,207,57,1,1,f
729,213,74,1,1,f
729,209,59,1,1,f
729,211,48,1,1,f
729,215,44,1,1,f
729,217,42,1,1,f
729,2485,53,1,1,f
729,877,83,1,2,f
729,1203,63,1,1,f
729,1139,66,1,1,f
729,1381,46,1,1,f
729,995,97,1,1,f
729,1438,72,1,1,f
729,1440,72,1,1,f
729,1965,69,1,1,f
729,313,71,1,1,f
729,436,59,1,1,f
729,438,55,1,1,f
1086,526,100,1,1,f
1086,555,74,7,7,f
1086,554,69,6,6,f
170,207,57,1,1,f
170,213,74,1,1,f
170,209,59,1,1,f
170,211,48,1,1,f
53,1897,63,3,3,f
170,217,42,1,1,f
53,995,70,45000,60000,f
53,860,40,15,30,f
53,67,50,15,25,f
4669,536,100,1,1,f
170,215,44,1,1,f
53,1621,65,1,1,f
53,1619,59,1,1,f
53,1617,71,1,1,f
1086,1438,72,1,1,f
1086,1440,72,1,1,f
1086,1965,69,1,1,f
1086,313,71,1,1,f
