npc_id,npc_level_combat,npc_name,npc_examine_text,npc_tile_size,npc_time_respawn
1,2,Man,One of Proximus's many citizens.,1,10
2,2,Man,One of Proximus's many citizens.,1,10
3,2,Man,One of Proximus's many citizens.,1,10
4,2,Woman,One of Proximus's many citizens.,1,10
5,2,Woman,One of Proximus's many citizens.,1,10
6,2,Woman,One of Proximus's many citizens.,1,10
7,7,Farmer,He grows the crops in this area.,1,10
8,16,Thief,Known for his light-fingered qualities.,1,10
9,21,Guard,It's an NPC.,1,40
10,0,Schoolgirl,She looks happy.,1,10
11,0,Tramp,A man down on his luck.,1,10
12,7,Barbarian,Not very civilised looking.,1,10
13,9,Wizard,Slightly magical.,1,10
14,33,Druid,Loves nature.,1,10
15,24,Warrior woman,Not very fashion conscious.,1,10
16,2,Man,One of the citizens of Al-Kharid.,1,10
17,0,Schoolgirl,With a hop and a skip.,1,10
19,36,White Knight,Shiny armour!,1,10
20,62,Paladin,A holy warrior.,1,60
21,69,Hero,Heroic!,1,10
22,15,Forester,They love the forests.,1,10
23,46,Knight of Ardougne,A member of Ardougne's militia.,1,10
24,2,Man,One of Proximus's many citizens.,1,10
25,2,Woman,One of Proximus's many citizens.,1,10
26,46,Knight of Ardougne,To protect and serve the populace of Ardougne.,1,10
27,37,Archer,Good with arrows.,1,10
28,0,Zoo keeper,Enjoys locking up animals in small pens.,1,10
29,1,Chuck,What restful music!,1,10
30,0,Barman,What restful music!,1,10
31,0,Priest,A holy man.,1,10
32,20,Guard,Keeps the peace... kind of.,1,10
33,0,Door man,What a boring job he has.,1,10
34,33,Watchman,Watches stuff. But who watches him?,1,10
35,28,Soldier,A soldier of the town of Yanille.,1,10
36,0,Wyson the gardener,The head gardener.,1,10
37,0,Sigbert the Adventurer,A bold knight famed for his travels.,1,10
38,11,Shipyard worker,Builds ships for a living.,1,10
39,11,Shipyard worker,Builds ships for a living.,1,10
40,0,Shark,Let's not go skinny dipping eh?,1,10
41,1,Chicken,Yep. Definitely a chicken.,1,10
42,0,Sheep,Freshly sheared.,1,10
43,0,Sheep,White and fluffy.,1,10
44,0,Duck,He can look after my money.,1,10
45,0,Duck,She can look after my money.,1,10
46,1,Duckling,Quackers.,1,10
47,1,Rat,A popular dwarven delicacy.,1,10
49,122,Hellhound,"Hello, nice doggy...",2,80
50,276,King Black Dragon,"The biggest, meanest dragon around.",5,80
51,48,Baby dragon,Young but still dangerous.,2,10
52,48,Baby blue dragon,Young but still dangerous.,2,60
53,152,Red dragon,A big powerful dragon.,4,80
54,227,Black dragon,A fierce dragon with black scales!,4,80
56,1,Dryad,A wood nymph.,1,10
57,0,Fairy,It's an NPC.,1,10
58,52,Shadow spider,Is it a spider or is it a shadow?,1,10
59,2,Giant spider,I think this spider has been genetically modified.,1,10
60,27,Giant spider,I think this spider has been genetically modified.,1,10
61,1,Spider,Incey wincey.,1,10
