npc_id,npc_skill_label,npc_skill_level
507,Attack,85
507,Defence,80
507,Hitpoints,70
507,Strength,80
508,Attack,85
508,Defence,80
508,Hitpoints,70
508,Strength,80
509,Attack,85
509,Defence,80
509,Hitpoints,70
509,Strength,80
582,Attack,8
582,Defence,6
582,Hitpoints,16
582,Magic,1
582,Ranged,1
582,Strength,8
643,Hitpoints,20
645,Hitpoints,7
649,Defence,40
649,Hitpoints,50
649,Magic,1
649,Ranged,40
650,Attack,40
650,Defence,40
650,Hitpoints,50
650,Magic,1
650,Ranged,1
650,Strength,40
652,Hitpoints,14
655,Attack,130
655,Defence,130
655,Magic,1
655,Ranged,1
655,Strength,130
663,Attack,1
663,Defence,1
663,Hitpoints,7
663,Magic,1
663,Ranged,1
663,Strength,1
667,Attack,173
667,Defence,173
667,Hitpoints,60
667,Magic,1
667,Ranged,1
667,Strength,172
674,Hitpoints,20
675,Hitpoints,10
677,Attack,145
677,Defence,148
677,Hitpoints,157
677,Magic,1
677,Ranged,1
677,Strength,152
678,Attack,19
678,Defence,14
678,Magic,1
678,Ranged,1
678,Strength,18
708,Attack,1
708,Defence,1
708,Hitpoints,8
708,Magic,1
708,Ranged,1
708,Strength,1
709,Attack,1
709,Defence,1
709,Hitpoints,8
709,Magic,1
709,Ranged,1
709,Strength,1
726,Attack,1
726,Defence,1
726,Hitpoints,7
726,Magic,1
726,Ranged,1
726,Strength,1
727,Attack,1
727,Defence,1
727,Hitpoints,7
727,Magic,1
727,Ranged,1
727,Strength,1
728,Attack,1
728,Defence,1
728,Hitpoints,7
728,Magic,1
728,Ranged,1
728,Strength,1
729,Attack,1
729,Defence,1
729,Hitpoints,7
729,Magic,1
729,Ranged,1
729,Strength,1
730,Attack,1
730,Defence,1
730,Hitpoints,7
742,Hitpoints,80
749,Attack,150
757,Magic,1
803,Hitpoints,15
812,Strength,18
852,Hitpoints,60
871,Strength,1
887,Attack,19
897,Ranged,1
898,Magic,1
900,Attack,48
917,Hitpoints,32
930,Hitpoints,65
937,Attack,76
977,Hitpoints,32
990,Hitpoints,57
1007,Ranged,1
1015,Hitpoints,10
1020,Defence,35
1021,Magic,40
1044,Strength,8
1064,Hitpoints,22
1073,Hitpoints,50
1076,Magic,1
1095,Attack,70
1096,Hitpoints,135
1097,Strength,100
1102,Attack,30
1103,Hitpoints,95
1105,Defence,30
1106,Strength,75
1110,Attack,40
1111,Strength,75
1115,Defence,40
1117,Attack,70
1122,Strength,90
1124,Strength,90
1128,Attack,40
1130,Attack,30
1131,Ranged,60
1133,Attack,30
1134,Strength,80
1142,Ranged,1
1145,Ranged,1
1147,Magic,1
1149,Attack,19
1153,Attack,20
1154,Ranged,1
1156,Attack,20
1157,Strength,110
1159,Magic,150
1160,Strength,300
1173,Magic,1
1201,Hitpoints,105
1204,Attack,85
1205,Magic,1
1219,Hitpoints,45
1233,Defence,30
1241,Attack,45
1248,Hitpoints,90
1264,Hitpoints,120
1267,Attack,1
1279,Hitpoints,60
1297,Attack,19
1318,Hitpoints,50
1329,Hitpoints,25
1338,Hitpoints,85
1339,Hitpoints,85
1341,Defence,75
1343,Attack,1
1344,Hitpoints,85
1346,Defence,75
1348,Defence,81
1349,Magic,1
1351,Magic,1
1352,Ranged,50
1354,Strength,78
1356,Defence,81
1401,Strength,1
1447,Defence,130
1455,Ranged,1
1456,Strength,80
1458,Defence,80
1460,Attack,130
1466,Attack,100
1467,Magic,60
1473,Hitpoints,2
1476,Magic,5
1477,Ranged,1
1508,Magic,1
1522,Defence,2
1524,Magic,1
1531,Defence,1
1540,Attack,70
1556,Defence,40
1559,Attack,100
1560,Magic,1
1562,Ranged,1
1564,Magic,1
1566,Attack,100
1582,Ranged,1
1584,Strength,65
1586,Defence,65
1588,Magic,1
1589,Strength,40
1591,Attack,165
1593,Hitpoints,62
1600,Attack,22
1600,Strength,18
1602,Magic,1
1604,Defence,90
1606,Attack,1
1608,Hitpoints,97
1610,Defence,107
1611,Defence,107
1613,Hitpoints,105
1615,Defence,135
1616,Defence,75
1617,Ranged,1
1619,Hitpoints,120
1621,Defence,37
1622,Ranged,1
1624,Hitpoints,105
730,Magic,1
745,Hitpoints,5
749,Strength,140
803,Strength,2
852,Magic,1
870,Defence,70
871,Ranged,1
897,Magic,1
899,Attack,38
900,Magic,1
914,Hitpoints,100
917,Strength,23
930,Defence,61
941,Attack,68
987,Hitpoints,19
998,Hitpoints,87
1005,Hitpoints,32
1009,Defence,58
1017,Strength,1
1019,Hitpoints,30
1020,Strength,35
1022,Strength,30
1044,Attack,8
1045,Attack,8
1047,Attack,20
1063,Hitpoints,22
1068,Hitpoints,22
1074,Ranged,40
1077,Strength,18
1086,Ranged,1
1092,Attack,30
1095,Strength,110
1101,Defence,30
1102,Ranged,60
1106,Hitpoints,90
1107,Defence,40
1108,Strength,75
1110,Strength,75
1117,Hitpoints,140
1118,Strength,90
1121,Strength,90
1123,Defence,25
1126,Hitpoints,90
1128,Hitpoints,90
1131,Hitpoints,95
1133,Hitpoints,95
1134,Ranged,60
1142,Defence,14
1144,Defence,14
1145,Magic,1
1147,Defence,14
1148,Strength,18
1150,Ranged,1
1154,Hitpoints,90
1156,Defence,20
1158,Attack,300
1159,Ranged,1
1172,Attack,80
1173,Ranged,1
1184,Magic,1
1195,Attack,17
1198,Hitpoints,85
1200,Strength,95
1205,Defence,100
1218,Magic,1
1220,Hitpoints,40
1233,Hitpoints,10
1244,Defence,42
1248,Attack,102
1250,Strength,100
1264,Ranged,1
1265,Magic,1
1317,Defence,40
1318,Ranged,1
1339,Strength,1
1341,Magic,1
1343,Defence,75
1344,Strength,1
1346,Magic,1
1348,Attack,78
1349,Ranged,50
1351,Defence,81
1352,Strength,78
1354,Attack,78
1355,Strength,78
1374,Magic,1
1402,Magic,1
1447,Attack,130
1455,Strength,130
1457,Magic,1
1458,Ranged,110
1460,Defence,200
1465,Ranged,1
1467,Ranged,1
1472,Magic,170
1474,Attack,1
1476,Attack,5
1477,Magic,1
1521,Hitpoints,55
1523,Defence,2
1525,Hitpoints,12
1530,Hitpoints,5
1540,Ranged,1
1555,Strength,140
1558,Magic,1
1560,Defence,120
1562,Defence,120
1563,Magic,1
1565,Ranged,1
1575,Hitpoints,190
1582,Strength,65
1588,Hitpoints,120
1590,Attack,112
1591,Strength,165
1592,Ranged,1
1594,Defence,54
1601,Attack,22
1602,Ranged,1
1604,Strength,1
1606,Defence,90
1607,Ranged,1
1610,Attack,75
1611,Ranged,1
1613,Defence,105
1614,Ranged,1
1616,Strength,45
1618,Strength,45
1619,Strength,45
1621,Strength,37
1623,Defence,27
730,Ranged,1
750,Hitpoints,190
803,Attack,2
812,Ranged,1
839,Hitpoints,34
852,Attack,75
870,Hitpoints,80
891,Hitpoints,25
897,Hitpoints,21
899,Defence,39
900,Ranged,1
917,Ranged,1
930,Magic,65
934,Hitpoints,150
941,Defence,68
987,Attack,11
997,Hitpoints,91
1007,Attack,24
1017,Defence,1
1018,Hitpoints,5
1019,Ranged,20
1021,Hitpoints,30
1046,Defence,12
1046,Strength,8
1073,Ranged,40
1086,Attack,1
1092,Magic,1
1096,Defence,60
1098,Defence,50
1101,Ranged,60
1103,Ranged,60
1104,Strength,80
1107,Attack,40
1108,Hitpoints,90
1110,Hitpoints,90
1112,Strength,75
1116,Strength,140
1118,Hitpoints,90
1122,Attack,40
1127,Hitpoints,90
1129,Hitpoints,90
1130,Ranged,60
1132,Defence,30
1138,Defence,40
1142,Strength,18
1144,Ranged,1
1146,Magic,1
1150,Attack,19
1153,Ranged,1
1155,Magic,1
1157,Attack,110
1158,Ranged,1
1160,Ranged,1
1172,Magic,1
1183,Hitpoints,105
1184,Strength,95
1195,Defence,15
1200,Attack,85
1201,Strength,95
1204,Magic,1
1205,Strength,95
1233,Ranged,21
1241,Defence,26
1246,Attack,88
1263,Hitpoints,14
1265,Attack,1
1267,Magic,1
1296,Defence,14
1317,Strength,40
1330,Hitpoints,10
1338,Strength,1
1340,Strength,1
1341,Strength,1
1343,Ranged,100
1345,Attack,1
1347,Attack,1
1349,Defence,81
1350,Hitpoints,120
1352,Hitpoints,120
1354,Magic,1
1355,Ranged,50
1401,Defence,1
1402,Ranged,1
1404,Hitpoints,5
1441,Strength,153
1455,Hitpoints,130
1457,Defence,80
1459,Attack,130
1460,Magic,130
1465,Defence,60
1467,Defence,60
1472,Defence,170
1475,Hitpoints,5
1477,Defence,11
1478,Magic,1
1521,Defence,2
1522,Ranged,1
1524,Defence,12
1525,Strength,6
1531,Magic,1
1540,Strength,70
1556,Ranged,70
1558,Ranged,1
1560,Strength,100
1562,Magic,1
1564,Attack,100
1565,Defence,120
1566,Strength,100
1585,Attack,65
1586,Magic,1
1587,Strength,60
1589,Hitpoints,50
1591,Ranged,1
1592,Strength,215
1594,Strength,54
1603,Magic,1
1604,Magic,105
1606,Hitpoints,90
1607,Magic,105
1609,Defence,105
1611,Hitpoints,105
1612,Ranged,1
1614,Defence,30
1616,Hitpoints,75
1618,Hitpoints,120
1620,Attack,22
1621,Hitpoints,37
1623,Attack,22
1626,Attack,53
730,Strength,1
750,Defence,100
757,Hitpoints,35
812,Magic,1
887,Ranged,1
893,Hitpoints,25
898,Defence,29
899,Ranged,1
929,Hitpoints,65
934,Magic,160
936,Defence,86
938,Defence,66
941,Strength,68
951,Defence,1
987,Strength,13
1000,Hitpoints,87
1009,Hitpoints,64
1017,Hitpoints,3
1019,Attack,35
1020,Ranged,30
1022,Ranged,30
1044,Magic,25
1045,Ranged,1
1047,Defence,20
1052,Hitpoints,45
1074,Hitpoints,50
1076,Defence,14
1086,Hitpoints,7
1092,Defence,25
1096,Attack,60
1097,Hitpoints,120
1103,Strength,80
1108,Attack,40
1111,Defence,40
1120,Defence,25
1122,Defence,25
1124,Attack,40
1125,Defence,50
1126,Strength,90
1130,Defence,30
1132,Hitpoints,95
1134,Attack,30
1143,Magic,1
1147,Attack,19
1148,Ranged,1
1149,Strength,18
1154,Attack,70
1155,Defence,110
1156,Strength,20
1158,Hitpoints,255
1160,Attack,300
1173,Defence,25
1183,Strength,95
1195,Magic,1
1201,Defence,80
1204,Hitpoints,110
1206,Attack,85
1239,Hitpoints,50
1241,Strength,30
1248,Strength,84
1265,Defence,1
1296,Ranged,1
1307,Hitpoints,50
1318,Attack,40
1339,Defence,75
1340,Magic,1
1342,Defence,75
1344,Defence,75
1345,Ranged,100
1347,Defence,75
1348,Strength,78
1350,Strength,78
1351,Ranged,50
1353,Magic,1
1355,Attack,78
1356,Strength,78
1377,Hitpoints,13
1401,Magic,1
1403,Hitpoints,5
1441,Attack,130
1447,Magic,130
1456,Hitpoints,50
1457,Ranged,110
1459,Hitpoints,130
1463,Hitpoints,6
1466,Hitpoints,60
1476,Hitpoints,5
1478,Hitpoints,51
1522,Attack,150
1523,Attack,150
1524,Ranged,1
1555,Attack,70
1556,Hitpoints,140
1559,Hitpoints,70
1560,Ranged,1
1561,Ranged,1
1563,Defence,120
1564,Strength,100
1566,Hitpoints,100
1583,Ranged,1
1587,Defence,60
1589,Attack,40
1590,Hitpoints,122
1592,Attack,215
1593,Strength,54
1600,Magic,1
1602,Attack,22
1603,Ranged,1
1605,Hitpoints,90
1607,Hitpoints,90
1609,Attack,67
1610,Hitpoints,105
1612,Defence,22
1614,Attack,67
1615,Magic,1
1617,Defence,75
1618,Defence,30
1620,Magic,1
1622,Hitpoints,27
742,Attack,70
750,Attack,150
757,Attack,30
803,Magic,1
871,Defence,1
898,Strength,20
929,Attack,57
930,Attack,57
936,Strength,84
951,Attack,1
955,Hitpoints,8
999,Hitpoints,90
1007,Magic,80
1020,Hitpoints,35
1022,Defence,30
1046,Attack,8
1047,Ranged,1
1074,Defence,40
1075,Magic,1
1077,Defence,14
1098,Attack,50
1105,Hitpoints,95
1110,Defence,40
1112,Attack,40
1115,Attack,70
1118,Attack,40
1119,Strength,90
1121,Hitpoints,90
1123,Attack,40
1126,Defence,25
1127,Strength,90
1131,Defence,30
1132,Strength,80
1138,Attack,40
1142,Magic,1
1144,Attack,19
1146,Attack,19
1147,Ranged,1
1150,Magic,1
1154,Magic,1
1155,Strength,110
1157,Ranged,1
1159,Hitpoints,255
1172,Defence,25
1173,Strength,80
1184,Hitpoints,105
1201,Attack,95
1203,Magic,1
1205,Hitpoints,110
1206,Strength,95
1218,Ranged,1
1244,Attack,64
1246,Strength,55
1250,Hitpoints,111
1264,Defence,80
1267,Defence,1
1297,Magic,1
1317,Attack,40
1318,Strength,40
1338,Attack,1
1339,Ranged,100
1341,Attack,1
1342,Ranged,100
1344,Magic,1
1346,Hitpoints,85
1347,Strength,1
1349,Hitpoints,120
1351,Attack,78
1353,Attack,78
1353,Strength,78
1355,Magic,1
1374,Defence,14
1402,Strength,1
1441,Defence,150
1455,Magic,130
1457,Hitpoints,50
1458,Magic,1
1459,Strength,130
1465,Strength,60
1467,Strength,60
1471,Ranged,1
1473,Attack,1
1475,Attack,5
1475,Strength,5
1478,Defence,35
1479,Hitpoints,6
1508,Hitpoints,17
1521,Magic,1
1523,Magic,1
1524,Strength,6
1531,Attack,1
1540,Magic,1
1556,Attack,70
1559,Defence,70
1561,Attack,100
1561,Strength,100
1563,Hitpoints,100
1565,Attack,100
1566,Ranged,1
1582,Attack,65
1584,Attack,65
1585,Magic,1
1587,Hitpoints,120
1588,Ranged,1
1590,Magic,100
1592,Hitpoints,210
1593,Ranged,1
1600,Ranged,1
1602,Defence,18
1604,Attack,1
1605,Ranged,1
1607,Attack,1
1608,Strength,105
1610,Ranged,1
1612,Attack,22
1613,Strength,97
1615,Ranged,1
1617,Attack,30
1618,Attack,75
1619,Ranged,1
1622,Attack,22
1623,Ranged,1
742,Defence,70
750,Strength,140
757,Defence,30
795,Hitpoints,105
803,Ranged,1
852,Defence,75
871,Magic,1
878,Hitpoints,65
887,Defence,14
897,Attack,18
898,Ranged,1
900,Strength,40
912,Hitpoints,100
913,Hitpoints,100
917,Defence,21
929,Strength,65
934,Attack,165
938,Strength,67
1002,Hitpoints,20
1007,Strength,24
1009,Strength,52
1017,Attack,1
1019,Strength,35
1022,Attack,30
1045,Strength,8
1046,Ranged,1
1074,Magic,1
1076,Attack,19
1077,Ranged,1
1086,Magic,1
1092,Hitpoints,52
1101,Hitpoints,95
1102,Strength,80
1104,Defence,30
1106,Attack,40
1107,Hitpoints,90
1111,Attack,40
1115,Hitpoints,140
1116,Defence,40
1117,Strength,140
1123,Strength,90
1129,Defence,25
1131,Attack,30
1134,Defence,30
1142,Attack,19
