id,id_note,id_lend,id_template_note,id_template_lend,stackable,tradable,droppable,members_only,name,value,weight,examine
18640,-1,-1,-1,-1,f,t,t,t,500x Diamond bolts (e),1,0,A pack of diamond bolts (e).
18636,-1,-1,-1,-1,f,t,t,f,Elemental Combo Runes,1,0,A pack of elemental combo runes.
18637,-1,-1,-1,-1,f,t,t,f,Catalytic Combo Runes,1,0,A pack of catalytic runes.
6542,-1,-1,-1,-1,f,t,t,t,500 Credits Bond,1,0,A credits bond gift.
10586,-1,-1,-1,-1,f,t,t,t,Double XP(24 hours),1,0,"A mystical lamp, engraved with scenes of carnage."
112926,-1,-1,-1,-1,f,t,t,t,Toxic blowpipe,1,0,Coming soon.
18642,-1,-1,-1,-1,f,t,t,t,Super Set,1,0,x50 (4) dose potions.
119669,-1,-1,-1,-1,f,t,t,t,Redwood,1,2,Logs cut from a redwood tree.
110941,-1,-1,-1,-1,f,t,t,t,Lumberjack hat,1,0.4,You'll certainly be alright wearing this.
110939,-1,-1,-1,-1,f,t,t,t,Lumberjack top,1,1.3,You'll certainly be alright wearing this.
110940,-1,-1,-1,-1,f,t,t,t,Lumberjack legs,1,0.9,You'll certainly be alright wearing this.
110933,-1,-1,-1,-1,f,t,t,t,Lumberjack boots,1,0,You'll certainly be alright wearing this.
112013,-1,-1,-1,-1,f,t,t,t,Prospector helmet,1,0,Helps you when you're mining.
112014,-1,-1,-1,-1,f,t,t,t,Prospector jacket,1,0,Helps you when you're mining.
112015,-1,-1,-1,-1,f,t,t,t,Prospector legs,1,0,Helps you when you're mining.
112016,-1,-1,-1,-1,f,t,t,t,Prospector boots,1,0,Helps you when you're mining.
112019,-1,-1,-1,-1,f,t,t,t,Coal bag,1,0,You can carry coal in here.
112020,-1,-1,-1,-1,f,t,t,t,Gem bag,1,0,You can carry uncut gems in here.
119473,-1,-1,-1,-1,f,t,t,t,Bag full of gems,1,0,Contains gems - but which ones?
112012,-1,-1,-1,-1,t,f,t,t,Golden nugget,1,0,A nugget of gold from the Motherlode Mine.
113258,-1,-1,-1,-1,f,t,t,t,Angler hat,1,0,This will help with fishing.
113259,-1,-1,-1,-1,f,t,t,t,Angler top,1,0,This will help with fishing.
113260,-1,-1,-1,-1,f,t,t,t,Angler waders,1,0,This will help with fishing.
113261,-1,-1,-1,-1,f,t,t,t,Angler boots,1,0,This will help with fishing.
112954,-1,-1,-1,-1,f,f,f,t,Dragon defender,1,0.4,A defensive weapon.
120246,-1,-1,-1,-1,f,t,t,t,Black leprechaun hat,1,2,"Try as they will, and try as they might, who steals me gold won't live through the night."
112355,-1,-1,-1,-1,f,t,t,t,Big pirate hat,1,0,Yarrr!
24659,-1,-1,-1,-1,f,t,t,f,Title,-1,0,NULL
24106,-1,-1,-1,-1,f,t,t,t,Mages' book,500,1,NULL
23912,-1,-1,-1,-1,f,t,t,t,Elf-style wig,1,0.4,NULL
23650,-1,-1,-1,-1,f,t,t,f,Fire cape,1,1.8,A cape of fire.
23649,-1,-1,-1,-1,f,t,t,f,Ket-Yit'tal's TokKul,1,0.5,"TokKul belonging to TzHaar-Ket-YitTal, Champion of the Fight Pits."
23647,-1,-1,-1,-1,f,t,t,t,Ket-Yit'tal's TokKul,1,0.5,"TokKul belonging to TzHaar-Ket-YitTal, Champion of the Fight Pits."
23646,-1,-1,-1,-1,f,t,t,t,Journal of Perjour,1,0.5,A very old journal. It seems to be protected from the heat by an old magic. Tucked in its centre pages is a note.
23194,-1,-1,-1,-1,f,t,t,t,Red sandstone,-1,1,It can be used to make robust glass.
23193,-1,-1,-1,-1,f,t,t,t,Robust glass,-1,1,It looks thicker than normal glass.
23083,-1,-1,-1,-1,f,t,t,t,Spikes,1,0,NULL
23124,-1,-1,-1,-1,f,t,t,t,Gorilla mask,1,0.5,Argh! It\'s frightful!
23122,23123,-1,-1,-1,f,t,t,t,Initiate tasset,8000,7,An initiate Temple Knight\'s leg armour.
23121,-1,-1,-1,-1,f,t,t,f,Armadyl chainskirt,50000,1,A chainskirt of great craftsmanship.
23120,-1,-1,-1,-1,f,t,t,f,Armadyl chestplate,60000,4,A chestplate of great craftsmanship
23119,-1,-1,-1,-1,f,t,t,f,Armadyl helmet,20000,0.5,A helmet of great craftmanship.
23117,-1,-1,-1,-1,f,t,t,f,Dragon platelegs (or),270000,9,Dragon platelegs with ornate decoration.
23116,-1,-1,-1,-1,f,t,t,f,Dragon gauntlets,50000,0.2,Uncharged: A bit worse for wear. <br />Charged: I have to keep my hands safe!
23115,-1,-1,-1,-1,f,t,t,f,Dragon boots,20000,1,These will protect my feet.
23114,-1,-1,-1,-1,f,t,t,f,Dragon full helm (or),150000,2,Dragon full helm with an ornate decoration.
23113,-1,-1,-1,-1,f,t,t,f,Dragon platebody (or),-1,9,Dragon platebody with an ornate decoration.
23112,-1,-1,-1,-1,f,t,t,f,Infinity bottoms,90000,1.8,Mystical robes.
